# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
chu4 zhang3 	處長	c=1 d=1 t=1334
chuan1 pu3 	川普	c=1 d=1 t=1260
chuang1 	窗	c=1 d=1 t=283
chuang4 xia4 	創下	c=1 d=1 t=91
chun1 	春	c=1 d=1 t=267
ci2 dian3 	詞典	c=6 d=2.04131 t=1289
ci2 hui4 	詞彙	c=2 d=1.98511 t=1376
ci2 yuan2 	辭源	c=2 d=1.99501 t=705
ci3 di4 wu2 yin2 san1 bai3 liang3 	此地無銀三百兩	c=1 d=1 t=809
cong1 cong1 	匆匆	c=1 d=1 t=266
cun2 chu2 	存儲	c=3 d=2.62095 t=899
da3 kai1 	打開	c=1 d=1 t=608
da3 yin4 	打印	c=0 d=0.1 t=884
da3 zhao1 hu1 	打招呼	c=1 d=1 t=669
da4 	大	c=2 d=0.101007 t=1676
da4 bu4 fen4 	大部分	c=1 d=1 t=293
da4 duo1 	大多	c=1 d=1 t=1647
da4 duo1 shu4 	大多數	c=1 d=1 t=211
da4 hua2 	大華	c=1 d=1 t=1662
da4 jia1 	大家	c=2 d=1.00492 t=1707
da4 jia1 hao3 	大家好	c=1 d=1 t=666
da4 qing1 	大清	c=6 d=4.12175 t=631
da4 shu4 	大樹	c=0 d=0.1 t=1672
da4 shu4 ju4 	大數據	c=1 d=1 t=1677
da4 shu4 ju4 	大樹據	c=1 d=1 t=1673
da4 xue2 	大學	c=1 d=1 t=1296
da4 ye2 	大爺	c=1 d=1 t=1453
dai4 biao3 	代表	c=1 d=1 t=1037
dai4 li3 	代理	c=6 d=1.24475 t=1554
dai4 ma3 	代碼	c=1 d=1 t=1085
dai4 tou2 	帶頭	c=1 d=1 t=1210
dai4 yu2 	帶魚	c=1 d=1 t=1448
dan4 chen2 	誕辰	c=1 d=1 t=1748
dan4 shi5 	但是	c=3 d=1.32222 t=1384
dang1 	當	c=1 d=1 t=1452
dang1 di4 	當地	c=1 d=1 t=1228
dang1 ran2 	當然	c=2 d=1.0662 t=1430
dang1 shi2 	當時	c=1 d=1 t=1440
dang3 he2 	黨和	c=1 d=1 t=123
dao4 	到	c=2 d=1.51944 t=1718
dao4 di3 	到底	c=1 d=1 t=1320
dao4 li4 	倒立	c=1 d=1 t=1129
dao4 shi4 	倒是	c=0 d=0.1 t=1221
de2 	得	c=1 d=1 t=652
de2 jiang3 	得獎	c=1 d=1 t=1271
de5 	的	c=101 d=13.2554 t=1766
de5 ren2 	的人	c=0 d=0.1 t=1618
deng1 lu4 	登錄	c=3 d=2.56992 t=606
di1 	滴	c=1 d=1 t=1279
di1 duan1 	低端	c=1 d=1 t=286
di2 si1 ni2 	迪斯尼	c=1 d=1 t=365
di4 	地	c=1 d=1 t=28
di4 	第	c=8 d=2.64272 t=1128
di4 dai4 	地帶	c=1 d=1 t=240
di4 fang1 	地方	c=3 d=1.01082 t=1741
di4 ming2 	地名	c=0 d=0.1 t=99
di4 ming2 li3 	地名裏	c=1 d=1 t=100
di4 qu1 	地區	c=1 d=1 t=784
di4 tu2 	地圖	c=4 d=2.02507 t=1354
di4 yi1 ben3 	第一本	c=1 d=1 t=1404
di4 zhi3 	地址	c=1 d=1 t=581
dian4 hua4 	電話	c=1 d=1 t=1755
dian4 nao3 	電腦	c=3 d=1.88091 t=1018
dian4 nao3 ban3 	電腦版	c=1 d=1 t=982
dian4 nao3 bao4 	電腦報	c=7 d=5.85412 t=911
dian4 shi4 	電視	c=0 d=0.1 t=1172
dian4 shi4 shang4 	電視上	c=2 d=1.12307 t=1592
dian4 shi4 tai2 	電視臺	c=2 d=1.13266 t=1598
dian4 tai2 	電臺	c=1 d=1 t=1226
diao4 cha2 	調查	c=1 d=1 t=169
diao4 yong4 	調用	c=1 d=1 t=420
ding4 ju1 	定居	c=1 d=1 t=688
dong1 e1 	東阿	c=0 d=0.1 t=1219
dong1 e1 e1 jiao1 	東阿阿膠	c=1 d=1 t=1220
dong1 fang1 	東方	c=2 d=1.97531 t=372
dong1 xi1 	東西	c=2 d=1.10646 t=529
dou1 	都	c=6 d=2.48659 t=1694
dou1 bu4 	都不	c=1 d=1 t=1600
dou1 mei2 	都沒	c=1 d=1 t=1165
dou1 shi4 	都是	c=2 d=1.16447 t=1547
dou4 ban4 	豆瓣	c=4 d=1.09501 t=1121
dou4 zi5 	豆子	c=1 d=1 t=1726
du1 ke3 	都可	c=0 d=0.1 t=1001
du1 ke3 chen2 	都可陳	c=1 d=1 t=1002
du2 jiao3 shou4 	獨角獸	c=1 d=1 t=196
du2 shu1 	讀書	c=1 d=1.07045 t=1142
du2 shu1 duo1 	讀書多	c=1 d=1 t=1143
duan1 	端	c=3 d=1.99618 t=1588
duan4 zi5 	段子	c=1 d=1 t=377
dui4 	對	c=1 d=1 t=260
dui4 hua4 	對話	c=2 d=1.96079 t=235
dui4 kang4 	對抗	c=1 d=1 t=295
dui4 ying4 	對應	c=1 d=1 t=533
duo1 	多	c=1 d=0.106909 t=1142
e1 jiao1 	阿膠	c=0 d=0.1 t=1219
e3 	噁	c=0 d=0.1 t=731
en1 	恩	c=1 d=1.02938 t=628
en1 mai3 le5 	恩買了	c=1 d=1 t=384
er2 qie3 	而且	c=1 d=1 t=793
er4 jin4 zhi4 	二進制	c=2 d=1.91851 t=900
fa1 	發	c=1 d=1 t=725
fa3 jia1 	法家	c=1 d=1 t=275
fan1 yi4 	翻譯	c=4 d=1.92912 t=1311
fan2 rong2 	繁榮	c=1 d=1 t=309
fan3 	反	c=1 d=1 t=1428
fan3 dui4 	反對	c=1 d=1 t=1412
fang1 fa3 	方法	c=4 d=1.04912 t=1704
fang1 shi4 	方式	c=1 d=1 t=638
fang2 dai4 	房貸	c=1 d=1 t=69
fang4 qi4 	放棄	c=4 d=3.622 t=1549
fen1 	分	c=1 d=1 t=1312
fen1 xi1 	分析	c=1 d=1 t=777
fen1 xiang3 	分享	c=1 d=1 t=1013
fen3 hong2 	粉紅	c=1 d=1 t=1138
feng1 	封	c=1 d=1 t=1652
feng1 mian4 	封面	c=1 d=0.874916 t=141
feng1 mian4 bao4 dao4 	封面報道	c=1 d=1 t=142
fu2 	服	c=1 d=1 t=374
fu2 wu4 qi4 	服務器	c=2 d=1.02139 t=774
fu4 mu3 	父母	c=1 d=1 t=187
gai1 	該	c=1 d=1 t=1044
gai3 	改	c=1 d=1 t=1616
gai3 ge2 	改革	c=3 d=2.43468 t=126
gan3 	感	c=1 d=1 t=106
gan3 	敢	c=1 d=1 t=290
gan3 ji2 	趕集	c=0 d=0.1 t=1711
gan3 jin3 	趕緊	c=1 d=1 t=702
gan3 jue2 	感覺	c=2 d=1.01209 t=1533
gan3 kao3 	趕考	c=1 d=1 t=271
gan3 xie4 	感謝	c=1 d=1 t=1012
gang1 gang1 	剛剛	c=1 d=1 t=1681
gao1 ji2 	高級	c=0 d=0.1 t=1212
gao1 ji2 hei1 	高級黑	c=1 d=1 t=1213
gao1 li2 	高麗	c=1 d=1 t=1508
gao1 tie3 	高鐵	c=3 d=1.36186 t=1408
gao1 xin1 qu1 	高新區	c=4 d=3.81158 t=1356
ge1 qu3 	歌曲	c=1 d=1 t=1642
ge4 	個	c=2 d=1.60653 t=525
ge4 ren2 	個人	c=1 d=1 t=416
ge4 wei4 	各位	c=1 d=1 t=1491
gei3 	給	c=1 d=1 t=727
gen1 shang4 	跟上	c=1 d=1 t=1256
geng1 xin1 	更新	c=1 d=1 t=1565
gong1 	供	c=1 d=1 t=419
gong1 gong4 zheng4 ce4 	公共政策	c=1 d=1 t=118
gong1 kai1 	公開	c=0 d=0.1 t=1382
gong1 neng2 	功能	c=2 d=1.01174 t=1634
gong1 si1 	公司	c=2 d=1.99501 t=422
gong1 zhu3 	公主	c=1 d=1 t=1293
gong4 	共	c=1 d=1 t=1219
gong4 chan3 dang3 	共產黨	c=1 d=1 t=434
gu3 ge1 	谷歌	c=1 d=1 t=1
gu4 ding4 	固定	c=1 d=1 t=609
gu4 you3 	固有	c=0 d=0.1 t=1279
gua4 zhe5 	掛着	c=1 d=1 t=1553
guan1 nian4 	觀念	c=1 d=1 t=86
guan1 shui4 	關稅	c=1 d=1 t=158
guan1 zhu4 	關注	c=1 d=1 t=1152
guan4 	慣	c=1 d=1 t=1454
guang3 gao4 pai2 	廣告牌	c=1 d=1 t=255
guang3 zhou1 	廣州	c=1 d=1 t=256
gui1 lai2 	歸來	c=1 d=1 t=121
gui1 qu4 	歸去	c=1 d=1 t=269
gui4 	貴	c=0 d=0.1 t=71
guo2 chan3 	國產	c=1 d=1 t=1643
guo2 jia1 	國家	c=10 d=2.19585 t=1574
guo2 jia1 pin3 pai2 	國家品牌	c=1 d=1 t=1156
guo2 qi3 	國企	c=1 d=1 t=1451
guo2 shi4 	國是	c=1 d=1 t=89
guo2 wai4 	國外	c=1 d=1 t=1135
guo2 zi1 wei3 	國資委	c=2 d=1.97531 t=1331
guo4 	過	c=0 d=0.1 t=1165
